Player,ast_per_g,blk_per_g,fg2_pct,fg3_pct,height,lb,pts_per_g,stl_per_g,tov_per_g,trb_per_g,years,Pick,WS,Games,School
Herbert Hill,0.9,1.9,0.615,0,82,227.3336402,9.7,0.8,2.195454545,5.2,4,55,0,0,Providence College
Ramon Sessions,4.9,0.1,0.43,0.313,75,190,8.8,1.2,2.195454545,4.2,3,56,28.5,663,"University of Nevada, Reno"
Sammy Mejia,3.2,0.2,0.51,0.328,78,216.2441944,12.1,1,2.195454545,4.8,4,57,0,0,DePaul
D.J. Strawberry,2.9,0.4,0.503,0.33,77,201,10.1,1.8,2.195454545,3.3,4,59,-0.2,33,Maryland
Derrick Rose,4.7,0.4,0.521,0.337,75,190,14.9,1.2,2.7,4.5,1,1,34.4,470,Memphis
Michael Beasley,1.2,1.6,0.562,0.379,81,235,26.2,1.3,2.9,12.4,1,2,13,509,Kansas State
O.J. Mayo,3.3,0.4,0.464,0.409,76,210,20.7,1.5,3.5,4.5,1,3,21.8,547,Southern California
Russell Westbrook,2.5,0.1,0.491,0.354,75,187,8.3,1,2.5,2.4,2,4,80.1,668,UCLA
Kevin Love,1.9,1.4,0.611,0.354,82,260,17.5,0.7,2,10.6,1,5,70.6,576,UCLA
Eric Gordon,2.4,0.6,0.525,0.337,75,222,20.9,1.3,3.6,3.3,1,7,26.3,492,Indiana
Joe Alexander,2,1.2,0.488,0.295,80,230,12.1,0.6,2.2,4.8,3,8,0.5,67,West Virginia
D.J. Augustin,6.2,0,0.463,0.402,72,180,16.9,1.4,2.8,2.9,2,9,30.9,651,Texas
Brook Lopez,1.1,1.9,0.491,0.143,84,260,16,0.5,2.1,7.1,2,10,49.6,562,Stanford
Jerryd Bayless,4,0.1,0.489,0.407,75,200,19.7,1,3,2.7,1,11,17.6,513,Arizona
Jason Thompson,2,1.9,0.544,0.291,83,250,16.7,0.9,2.9,9.6,4,12,0,2,Rider
Brandon Rush,2,0.8,0.458,0.435,78,210,13.6,0.7,1.8,5.5,3,13,11.2,481,Kansas
Anthony Randolph,1.2,2.3,0.483,0.105,82,205,15.6,1.1,3,8.5,1,14,5.8,252,Louisiana State
Robin Lopez,0.8,2.3,0.511,0.5,84,255,9,0.3,1.8,5.6,2,15,38.3,628,Stanford
Marreese Speights,0.5,0.9,0.633,0,82,245,9.5,0.3,1.7,5.4,2,16,25.2,653,Florida
Roy Hibbert,1.3,1.9,0.602,1,86,278,10.9,0.4,1.7,5.9,4,17,35.9,662,Georgetown
JaVale McGee,0.3,1.8,0.563,0.356,84,237,8.7,0.5,2.4,4.8,2,18,23.2,493,"University of Nevada, Reno"
J.J. Hickson,1,1.5,0.593,0,81,242,14.8,0.7,2.7,8.5,1,19,21.9,534,North Carolina State
Ryan Anderson,1,0.5,0.532,0.396,81,216,18.7,0.5,2.2,9,2,21,42.2,556,California
Courtney Lee,2.2,0.6,0.498,0.401,77,200,17.6,1.9,2.3,5.2,4,22,34.3,677,Western Kentucky
Kosta Koufos,0.5,1.8,0.535,0.349,84,265,14.4,0.4,1.5,6.7,1,23,23.7,573,Ohio State
George Hill,3.3,0.3,0.565,0.404,74,180,17,1.6,2.9,5.8,4,26,53.9,599,IUPUI
Darrell Arthur,0.6,1.4,0.552,0.118,81,225,11.3,0.7,1.9,5.5,2,27,12.4,484,Kansas
Donte Greene,2,1.6,0.492,0.345,83,226,17.7,1.3,2.6,7.2,1,28,1.5,253,Syracuse
D.J. White,0.9,2,0.563,0.333,81,251,14.6,0.7,1.9,7.6,4,29,3.8,138,Indiana
J.R. Giddens,2.8,0.9,0.545,0.313,77,215,16.1,1.2,2.2,7.8,4,30,0.1,38,New Mexico
Walter Sharpe,1.7,1.8,0.535,0,81,245,14.2,1.2,2.8,6.8,3,32,-0.1,8,Alabama at Birmingham
Joey Dorsey,0.5,1.8,0.614,0,80,268,6.7,1.1,1.1,8.1,4,33,2.9,130,Memphis
Mario Chalmers,3.8,0.4,0.545,0.419,73,190,12.2,2.6,1.9,2.8,3,34,31.7,580,Kansas
DeAndre Jordan,0.4,1.3,0.617,0,83,250,7.9,0.2,1.6,6,1,35,66.9,673,Texas A&M
Luc Richard Mbah a Moute,1.6,0.6,0.545,0.215,80,230,8.7,1.3,1.9,7.2,3,37,23.2,621,UCLA
Kyle Weaver,3.8,0.8,0.505,0.277,78,201,9.6,1.6,2.8,4.7,4,38,1.5,73,Washington State
Sonny Weems,2.3,0.3,0.527,0.366,78,203,13.3,1.3,2.8,4.6,2,39,0,183,Arkansas
Chris Douglas-Roberts,1.7,0.4,0.579,0.372,79,200,14.2,1,2.1,3.7,3,40,5.4,222,Memphis
Sean Singletary,4.8,0.1,0.433,0.362,72,185,16.9,1.6,3.9,4,4,42,0,37,Virginia
Patrick Ewing,0.9,3.4,0,0,84,240,15.3,1.2,2.3,9.2,4,43,126.4,1183,Georgetown
Trent Plaisted,1.2,1,0.535,0,83,230.1060017,13.3,0.4,2.4,6.7,4,46,0,0,Brigham Young University Hawaii
Bill Walker,1.7,0.5,0.52,0.285,78,220,15.3,0.8,2.6,6,2,47,5,181,Kansas State
Malik Hairston,2.1,0.6,0.551,0.395,78,220,14.1,0.6,1.8,5.1,4,48,0.8,62,Oregon
Richard Hendrix,1.4,1.6,0.596,0.231,81,224.5612787,14,0.9,1.7,8.9,3,49,0,0,Alabama
DeVon Hardin,0.4,1.3,0.517,0,83,230.1060017,7.4,0.4,1.4,6.4,4,50,0,0,California
Shan Foster,1.7,0.3,0.543,0.421,78,216.2441944,15.2,0.8,1.7,3.9,4,51,0,0,Vanderbilt
Darnell Jackson,0.5,0.4,0.583,0.333,81,253,6.8,0.5,1.3,4.9,4,52,1.3,138,Kansas
Maarty Leunen,1.8,0.4,0.573,0.397,81,224.5612787,9.9,1,1.6,7.1,4,54,0,0,Oregon
Mike Taylor,4.5,0.1,0.391,0.36,74,165,16,1.1,2.195454545,4.1,1,55,-0.4,51,Iowa State
Sasha Kaun,0.3,1.1,0.568,0,83,230.1060017,6.1,0.4,0.8,3.9,4,56,0.2,25,Kansas
James Gist,1.1,1.8,0.523,0.33,81,224.5612787,10.9,0.9,2.7,6,4,57,0,0,Maryland
Joe Crawford,1.5,0.2,0.512,0.35,77,210,11.3,0.5,2.8,3.4,4,58,0,2,Kentucky
Deron Washington,1.5,0.9,0.498,0.294,79,219.0165558,11,1.2,2.1,5.4,4,59,0,0,Virginia Tech
Blake Griffin,2.1,1,0.622,0.3,82,227.3336402,18.8,1.1,2.8,11.8,2,1,62.4,471,Oklahoma
Hasheem Thabeet,0.4,4.2,0.611,0,87,241.1954475,10.3,0.4,1.8,8.5,3,2,4.8,224,Connecticut
James Harden,3.7,0.4,0.57,0.376,77,213.4718329,19,1.9,3,5.4,2,3,91.3,615,Arizona State
Tyreke Evans,3.9,0.8,0.514,0.274,78,216.2441944,17.1,2.1,3.6,5.4,1,4,23.9,473,Memphis
Jonny Flynn,6,0.2,0.525,0.333,72,199.6100256,16.6,1.5,3.1,2.7,2,6,-1.1,163,Syracuse
Stephen Curry,3.7,0.3,0.53,0.412,75,207.92711,25.3,2.1,3.1,4.5,3,7,84.2,574,Davidson College
Jordan Hill,0.8,1.4,0.578,0,82,235,12.5,0.5,2.5,7.9,3,8,16.4,409,Arizona
DeMar DeRozan,1.5,0.4,0.562,0.167,79,219.0165558,13.9,0.9,2.1,5.7,1,9,44.4,595,Southern California
Terrence Williams,3.9,0.6,0.457,0.32,78,216.2441944,11.2,1.5,2.6,6.9,4,11,-0.2,153,Louisville
Gerald Henderson,0,0,0,0,74,175,15,0,2.195454545,3.2,4,12,32.1,871,Duke
Tyler Hansbrough,1.1,0.5,0.541,0.316,81,224.5612787,20.2,1.3,2,8.6,4,13,20.2,428,North Carolina
Earl Clark,1.7,1.2,0.512,0.298,81,224.5612787,10.6,0.9,2.8,7,3,14,2.9,261,Louisville
Austin Daye,1,1.9,0.495,0.422,83,230.1060017,11.6,0.7,1.9,5.8,2,15,4.5,293,Gonzaga
James Johnson,3.8,0.1,0.394,0.37,72,195,13.6,1.5,2.2,3.5,4,16,17,474,Wake Forest
Jrue Holiday,3.7,0.5,0.528,0.307,75,207.92711,8.5,1.6,2.1,3.8,1,17,26.6,504,UCLA
Ty Lawson,5.8,0.1,0.568,0.403,71,196.8376641,13.1,1.8,2,2.9,3,18,42.1,551,North Carolina
Jeff Teague,3,0.6,0.477,0.421,74,205.1547485,16.4,1.9,3,3,2,19,41.2,600,Wake Forest
Eric Maynor,5.2,0.2,0.477,0.37,74,205.1547485,15,1.3,3,3.4,4,20,3.3,267,Virginia Commonwealth
Darren Collison,4.1,0.1,0.496,0.439,73,202.382387,11.6,1.6,2.4,2.3,4,21,35.5,563,UCLA
Taj Gibson,1.4,2.4,0.58,0,81,224.5612787,12.4,0.7,2.3,8.5,3,26,37.6,585,Southern California
DeMarre Carroll,1.8,0.7,0.57,0.311,80,221.7889173,14.9,1.4,1.5,6.9,4,27,22,414,Missouri
Wayne Ellington,2.2,0.1,0.513,0.397,76,210.6994714,14.7,0.9,1.7,4.1,3,28,10.7,515,North Carolina
Toney Douglas,2.9,0.3,0.491,0.376,73,202.382387,16.7,1.9,2.6,3.3,4,29,12.1,394,Florida State
Jeff Pendergraph,0.8,1,0.585,0,82,227.3336402,12.6,0.5,1.6,7.5,4,31,-0.2,11,Arizona State
Jermaine Taylor,1.4,0.4,0.536,0.376,76,210.6994714,16.2,0.9,2.7,3.9,4,32,-0.1,56,Central Florida
Dante Cunningham,1,0.8,0.525,0.333,81,224.5612787,9.6,1.2,2.2,5.9,4,33,20.6,578,Villanova
DaJuan Summers,1.3,0.6,0.522,0.353,80,221.7889173,11.2,1,2.3,4.4,3,35,-0.1,83,Georgetown
Sam Young,1,0.8,0.539,0.356,78,216.2441944,13.2,0.8,2.4,5,4,36,5.2,249,Pittsburgh
DeJuan Blair,1.1,1,0.568,0,79,219.0165558,13.6,1.6,1.6,10.7,2,37,19,424,Pittsburgh
Jon Brockman,1,0.1,0.534,0,79,219.0165558,13.8,0.8,2.1,9.8,4,38,3.7,150,Washington
Derrick Brown,1.5,0.8,0.61,0.415,80,221.7889173,10.3,0.7,1.8,5.6,3,40,4.5,171,Xavier
Jodie Meeks,1.6,0.1,0.491,0.386,77,213.4718329,15.4,1.1,2.3,3,3,41,21.9,454,Kentucky
Patrick Beverley,2.8,0.4,0.463,0.382,73,202.382387,13,1.5,2,5.5,2,42,19.6,291,Arkansas
Marcus Thornton,1.8,0.3,0.51,0.382,76,210.6994714,20.4,1.5,2,5.5,2,43,20,483,Louisiana State
Chase Budinger,2.8,0.4,0.524,0.383,79,219.0165558,17,1.3,2.4,5.8,3,44,13.9,407,Arizona
Nick Calathes,6.3,0.1,0.507,0.38,78,216.2441944,16.3,1.8,3.1,5.3,2,45,2.6,129,Florida
Danny Green,1.8,1.1,0.522,0.375,77,213.4718329,9.4,1.1,1.8,4.1,4,46,46.4,823,North Carolina
Taylor Griffin,1,0.8,0.493,0.22,79,219.0165558,6.6,0.9,1.5,4.8,4,48,0,8,Oklahoma
Goran Suton,1.6,0.7,0.536,0.348,82,227.3336402,8.1,0.8,1.7,6.6,4,50,0,0,Michigan State
Jack McClinton,2.5,0,0.416,0.44,73,202.382387,17.9,0.7,2.5,2.7,4,51,0,0,Miami
A.J. Price,4.7,0.1,0.447,0.365,74,205.1547485,13,1.1,2.5,3.4,3,52,4.7,261,Connecticut
Robert Vaden,2.3,0.4,0.453,0.374,77,213.4718329,19.3,1,2.7,4.2,4,54,0,0,Alabama at Birmingham
Patrick Mills,3.7,0.2,0.499,0.331,72,199.6100256,16.4,2,2.9,2.2,2,55,79.6,837,St. Mary's
Ahmad Nivins,0.5,1.3,0.628,0,81,224.5612787,14.2,0.7,2.5,7.6,4,56,0,0,St. Joseph's
Lester Hudson,4.4,0.6,0.53,0.372,75,207.92711,26.6,2.6,3.6,7.9,2,58,0.2,57,Tennessee at Martin
Chinemelu Elonu,0.2,0.9,0.633,0,82,227.3336402,5.1,0.2,1.3,4.4,3,59,0,0,Texas A&M
Robert Dozier,1,1.5,0.493,0.312,81,224.5612787,9.3,1,1.8,6.5,4,60,0,0,Memphis
John Wall,6.5,0.5,0.509,0.325,76,210.6994714,16.6,1.8,4,4.3,1,1,40.4,500,Kentucky
Evan Turner,4.1,0.7,0.525,0.362,79,219.0165558,15,1.6,3.5,6.8,3,2,15.9,534,Ohio State
Derrick Favors,1,2.1,0.613,0,82,227.3336402,12.4,0.9,2.5,8.4,1,3,33.5,479,Georgia Tech
Wesley Johnson,0.1,0.3,0.529,0,80,210,1.6,0.2,0.3,1.5,2,4,9,497,Syracuse
DeMarcus Cousins,1,1.8,0.565,0.167,83,230.1060017,15.1,1,2.1,9.8,1,5,36.9,487,Kentucky
Ekpe Udoh,2.7,3.7,0.505,0.269,82,227.3336402,13.9,0.8,2.4,9.8,3,6,5.7,270,Baylor
Greg Monroe,3.2,1.5,0.558,0.273,83,230.1060017,14.5,1.5,2.9,8.2,2,7,45.2,538,Georgetown
Al-Farouq Aminu,1.4,1.3,0.522,0.238,81,224.5612787,14.4,1.2,2.9,9.4,2,8,17.4,520,Wake Forest
Gordon Hayward,1.8,0.9,0.569,0.369,80,221.7889173,14.4,1.3,2,7.4,2,9,43,516,Butler
Paul George,2.4,0.9,0.485,0.396,79,219.0165558,15.5,2,2.7,6.7,2,10,44.5,448,Cal State Fresno
Cole Aldrich,0.6,2.3,0.574,0,83,230.1060017,9.4,0.5,1.2,7.7,3,11,9.6,318,Kansas
Xavier Henry,1.5,0.5,0.492,0.418,78,216.2441944,13.4,1.5,1.9,4.4,1,12,0.8,185,Kansas
Ed Davis,0.7,2.1,0.548,0,82,227.3336402,9.2,0.4,1.4,7.7,2,13,30.5,481,North Carolina
Patrick Patterson,1.5,1.6,0.604,0.329,81,224.5612787,16.1,0.7,1.6,8.2,3,14,25,477,Kentucky
Larry Sanders,0.5,2.7,0.526,0.25,82,227.3336402,10.3,0.6,1.5,7.7,3,15,10.3,238,Virginia Commonwealth
Luke Babbitt,1.8,0.8,0.494,0.421,81,224.5612787,19.4,0.9,2.1,8.1,2,16,6.3,331,"University of Nevada, Reno"
Eric Bledsoe,2.9,0.3,0.516,0.383,73,202.382387,11.3,1.4,3,3.1,1,18,23.3,418,Kentucky
Avery Bradley,2.1,0.5,0.457,0.375,74,205.1547485,11.6,1.3,1.5,2.9,1,19,14.4,413,Texas
James Anderson,0.2,0.4,0.463,0,82,240,1.6,0.1,0.2,1.3,3,20,3.3,247,Oklahoma State
Craig Brackins,1.6,1,0.48,0.292,82,227.3336402,16,0.5,2,7.7,3,21,-0.2,17,Iowa State
Elliot Williams,3.8,0.1,0.527,0.366,76,210.6994714,17.9,1.3,2.9,4,2,22,0.7,109,Memphis
Trevor Booker,1.7,1.9,0.574,0.324,79,219.0165558,12.9,1.1,1.9,7.9,4,23,23.3,464,Clemson
Damion James,1.1,1.1,0.506,0.364,79,219.0165558,13.5,1,1.9,9.3,4,24,0,39,Texas
Dominique Jones,3.5,0.4,0.512,0.323,76,210.6994714,18.9,1.5,2.6,5.4,3,25,-0.3,15,South Florida
Quincy Pondexter,1.7,0.3,0.528,0.327,79,219.0165558,13.1,0.8,1.9,5.6,4,26,9.1,279,Washington
Jordan Crawford,2.9,0.2,0.501,0.391,76,210.6994714,20.5,1.3,2.4,4.7,2,27,0,2,Xavier
Greivis Vasquez,5.7,0.3,0.487,0.329,78,216.2441944,16,1.4,3.5,4.8,4,28,12.6,401,Maryland
Daniel Orton,0.4,1.4,0.539,0,83,230.1060017,3.4,0.6,1,3.3,1,29,1,51,Kentucky
Lazar Hayward,0.9,0.3,0.497,0.357,78,216.2441944,13.5,1.1,1.9,6.6,4,30,0.2,72,Marquette
Dexter Pittman,0.3,0.9,0.623,0,82,227.3336402,6.6,0.2,1.3,3.9,4,32,0.5,50,Texas
Hassan Whiteside,0.3,5.4,0.522,0.6,84,232.8783631,13.1,0.6,1.9,8.9,1,33,25.2,217,Marshall
Armon Johnson,4.4,0.2,0.514,0.289,75,207.92711,14.3,0.8,2.7,3.7,3,34,-0.1,47,"University of Nevada, Reno"
Terrico White,1.9,0.2,0.491,0.347,77,213.4718329,14.5,0.8,1.5,4,2,36,0,0,Mississippi
Darington Hobson,4.6,0.4,0.465,0.361,79,219.0165558,15.9,1.3,3,9.3,1,37,-0.2,5,New Mexico
Andy Rautins,2.7,0.2,0.506,0.374,77,213.4718329,8.8,1.4,2.4,2.6,4,38,-0.2,5,Syracuse
Landry Fields,1.6,0.4,0.51,0.342,79,219.0165558,10.8,0.9,1.7,5,4,39,10.5,255,Stanford
Lance Stephenson,2.5,0.2,0.495,0.219,77,210,12.3,0.9,2.4,5.4,1,40,13.8,358,Cincinnati
Jarvis Varnado,0.6,4,0.591,0.25,81,224.5612787,10,0.5,1.6,7.8,4,41,0.7,37,Mississippi State
Da'Sean Butler,1.9,0.2,0.5,0.353,79,219.0165558,14.3,1.1,1.9,5.5,4,42,0,0,West Virginia
Devin Ebanks,2.6,0.7,0.51,0.114,81,224.5612787,11.2,0.9,2.1,7.9,2,43,0.5,63,West Virginia
Jerome Jordan,0.8,2.5,0.567,0,84,232.8783631,11.3,0.4,2.3,7.4,4,44,1.7,65,Tulsa
Gani Lawal,0.4,1.3,0.55,0,81,224.5612787,11.8,0.6,2.1,7.2,3,46,0,1,Georgia Tech
Tiny Gallon,0.8,0.8,0.573,0.235,81,224.5612787,10.3,0.7,2.3,7.9,1,47,0,0,Oklahoma
Solomon Alabi,0.4,2.1,0.535,0,85,235.6507246,9.1,0.5,1.7,5.4,3,50,0,26,Florida State
Magnum Rolle,0.9,1.9,0.521,0.5,83,230.1060017,13.1,0.8,2.1,7.8,4,51,0,0,Louisiana Tech
Luke Harangody,1.6,0.7,0.486,0.326,80,246,19.2,0.8,2,9.5,4,52,0.9,70,Notre Dame
Willie Warren,3.5,0.1,0.55,0.35,76,210.6994714,15.2,1.1,2.8,2.6,2,54,0.2,19,Oklahoma
Jeremy Evans,0.5,1.7,0.654,0.364,81,224.5612787,7.9,0.6,1,5.9,4,55,8.2,249,Western Kentucky
Hamady N'Diaye,0.4,2.9,0.542,0,84,232.8783631,5.8,0.4,1.5,5.5,4,56,0,33,Rutgers
Ryan Reid,0.7,0.6,0.494,1,80,221.7889173,5,0.5,1.8,3.9,4,57,0.1,5,Florida State
Derrick Caracter,1.1,0.9,0.585,0.267,81,224.5612787,14.1,1,2.9,8.1,3,58,0.3,41,University of Texas at El Paso
Stanley Robinson,1,1,0.52,0.351,81,224.5612787,9.8,0.6,1.8,6.2,4,59,0,0,Connecticut
Dwayne Collins,0.9,0.7,0.565,0,80,221.7889173,9.9,0.7,1.9,7,4,60,0,0,Miami
Kyrie Irving,4.3,0.5,0.569,0.462,74,180,17.5,1.5,2.5,3.4,1,1,40.4,381,Duke
Derrick Williams,3.2,0,0.4,0.431,69,191.2929412,11.1,1.3,2.195454545,3.2,1,2,14.1,426,Arizona
Tristan Thompson,1.3,0.1,0.472,0.396,77,193,12.7,0.6,1.7,2.8,4,4,34.9,466,Texas
Brandon Knight,4.2,0.2,0.461,0.377,75,185,17.3,0.7,3.2,4,1,8,32.6,729,Kentucky
Kemba Walker,4.1,0.3,0.469,0.326,73,172,16.1,1.7,2.3,4.4,3,9,17.9,448,Connecticut
Jimmer Fredette,3.7,0.1,0.497,0.394,74,195,18.7,1.2,2.5,2.6,4,10,2.4,235,Brigham Young
Klay Thompson,2.6,0.8,0.45,0.39,78,200,17.9,1.3,2.9,4.8,3,11,36.6,464,Washington State
Alec Burks,2.4,0.4,0.533,0.313,78,195,19,1.1,2.3,5.8,2,12,9.6,301,Colorado
Markieff Morris,1.2,0.9,0.579,0.404,82,245,8.5,0.6,1.6,6.1,3,13,4.1,62,Kansas
Marcus Morris,1.3,0.4,0.585,0.358,81,235,12.6,0.9,1.6,6.2,3,14,4.1,62,Kansas
Kawhi Leonard,2.2,0.6,0.497,0.25,79,225,14.1,1.4,2.2,10.2,2,15,55.4,398,San Diego State
Nikola Vucevic,1.1,1.1,0.551,0.303,82,220,11.1,0.5,1.5,8,3,16,28.1,399,Southern California
Iman Shumpert,4.2,0.2,0.45,0.305,77,212,12.7,2.3,3,4.5,3,17,11.6,370,Georgia Tech
Chris Singleton,1.5,1.4,0.476,0.33,81,220,10.3,1.9,2.4,6.2,3,18,2.3,148,Florida State
Tobias Harris,1.3,0.9,0.497,0.303,80,226,15.3,0.7,1.8,7.3,1,19,0,14,Tennessee
Nolan Smith,2.8,0.1,0.483,0.368,74,185,13.4,1,2,2.8,4,21,-0.8,84,Duke University
Kenneth Faried,0.9,1.8,0.572,0.25,80,228,14.8,1.7,2.2,12.3,4,22,34.6,409,Morehead State
Reggie Jackson,3.5,0.5,0.527,0.351,75,208,12.7,0.8,2.1,4.4,3,24,21.3,403,Boston College
Marshon Brooks,1.5,0.7,0.543,0.333,77,200,14.4,1.1,1.8,4.3,4,25,2.5,164,Providence College
Jordan Hamilton,0.5,0.3,0.547,0.324,78,205,4.3,0.3,0.7,1.4,4,26,12.4,344,Texas
JaJuan Johnson,0.7,1.9,0.512,0.25,82,221,13.7,0.7,1.3,6.1,4,27,0.2,36,Purdue
Norris Cole,3.3,0.1,0.48,0.321,74,170,14.1,1.5,2,3.2,4,28,3,360,Cleveland State
Cory Joseph,3,0.3,0.429,0.413,75,185,10.4,1,1.5,3.6,1,29,15.2,364,Texas
Jimmy Butler,1.7,0.5,0.525,0.383,79,220,12,1.1,1,5.5,3,30,49.3,399,Marquette
Justin Harper,0.7,0.8,0.557,0.382,82,225,10.6,0.6,1.3,4.8,4,32,-0.3,22,Richmond
Kyle Singler,2,0.7,0.479,0.363,80,230,16.2,1.1,2.1,6.9,4,33,10.1,344,Duke
Shelvin Mack,3.3,0.1,0.48,0.357,75,215,14.1,1.1,2.2,4.2,3,34,7.5,330,Butler
Tyler Honeycutt,2.8,1.7,0.473,0.359,81,180,10.3,1.2,2.8,6.9,2,35,-0.1,24,UCLA
Jordan Williams,0.4,1.2,0.528,0,82,260,13.2,0.7,1.3,10.2,2,36,1.3,43,Maryland
Trey Thompkins,1.4,1.3,0.496,0.357,82,245,15.7,1,2.6,7.8,3,37,34.9,466,Georgia
Chandler Parsons,2.4,0.3,0.575,0.337,81,215,10.2,0.9,1.6,6,4,38,28,374,Florida
Jon Leuer,1.1,0.7,0.521,0.368,82,228,11.2,0.4,1.2,4.5,4,40,12.2,328,Wisconsin
Darius Morris,4.8,0.1,0.528,0.223,76,190,9.9,0.8,2.3,2.9,2,41,-0.3,132,Michigan
Malcolm Lee,2,0.2,0.533,0.278,77,180,9.7,0.8,1.7,3,3,43,0.4,36,UCLA
Charles Jenkins,3.8,0.6,0.482,0.382,75,220,19.6,1.7,3,4.3,4,44,0.5,110,Hofstra
Josh Harrellson,0.4,0.9,0.571,0.31,82,275,4.7,0.5,0.6,4.7,3,45,2.1,75,Kentucky
Andrew Goudelock,3,0.3,0.494,0.413,74,200,18.4,0.9,2.2,3.3,4,46,0,49,College of Charleston
Travis Leslie,2.1,0.7,0.492,0.333,76,205,12.2,1.1,2,6.1,3,47,0.1,10,Georgia
Keith Benson,0.7,2.7,0.562,0.379,83,230,14.1,0.5,1.4,8.2,4,48,33.6,680,Oakland
Josh Selby,2.2,0,0.384,0.362,74,183,7.9,0.8,2,2.2,1,49,-0.7,38,Kansas
Lavoy Allen,2.1,1.6,0.549,0.288,81,225,10.5,0.5,1.4,8.5,4,50,13.8,388,Temple
Jon Diebler,1.9,0.2,0.474,0.416,78,205,10.7,1,1.2,2.8,4,51,0,0,Ohio State
Vernon Macklin,0.8,0.8,0.599,0,81,224.5612787,11.1,0.5,1.5,5.5,4,52,0.5,23,Florida
DeAndre Liggins,2.1,0.5,0.455,0.332,78,210,5.8,0.9,1.5,3,3,53,1.1,119,Kentucky
E'Twaun Moore,2.9,0.4,0.473,0.38,76,191,15.3,1.2,2.1,4.4,4,55,7.5,380,Purdue
Ater Majok,0.2,1.6,0.424,0,82,227.3336402,2.3,0.2,0.8,3,1,58,0,0,Connecticut
Isaiah Thomas,4,0.1,0.49,0.325,68,185,16.4,1.2,2.7,3.5,3,60,45.4,441,Washington
